,Weight (g),,length (cm),,,,,,,,,,,,,,,,
50_1,0.0812,,,,,,,,,,,,,,,,,,
50_3,0.1065,,,,,,,,,,,,,,,,,,
49_4,0,,,,,,,,,,,,,,,,,,
50_4,0.1653,,,,,,,,,,,,,,,,,,
52_1,0.0645,,,,,,,,,,,,,,,,,,
42_2,0,,,,,,,,,,,,,,,,,,
42_3,0,,,,,,,,,,,,,,,,,,
42_4,0,,,,,,,,,,,,,,,,,,
52_3,0.0753,,,,,,,,,,,,,,,,,,
52_5,0.0722,,,,,,,,,,,,,,,,,,
52_2,0,,,,,,,,,,,,,,,,,,
53_1,0.0432,,,,,,,,,,,,,,,,,,
52_4,0,,,,,,,,,,,,,,,,,,
53_3,0.0779,,,,,,,,,,,,,,,,,,
53_4,0.0508,,,,,,,,,,,,,,,,,,
53_2,0,,,,,,,,,,,,,,,,,,
53_5,0.058,,,,,,,,,,,,,,,,,,
54_1,0.068,,,,,,,,,,,,,,,,,,
54_2,0.1105,,,,,,,,,,,,,,,,,,
54_4,0.0727,,,,,,,,,,,,,,,,,,
54_5,0.1062,,,,,,,,,,,,,,,,,,
54_3,0,,,,,,,,,,,,,,,,,,
55_1,0.0587,,,,,,,,,,,,,,,,,,
55_2,0.0692,,,,,,,,,,,,,,,,,,
55_3,0.0901,,,,,,,,,,,,,,,,,,
33_2,0,,,,,,,,,,,,,,,,,,
55_4,0.0245,,,,,,,,,,,,,,,,,,
33_4,0,,,,,,,,,,,,,,,,,,
55_5,0.0271,,1.7*0.8,0.7*0.6,0.9*0.4,,0.9*0.8,,0.5*0.5,1.8*0.9,1*0.9,1.1*0.5,1*0.5,,,,,,
56_1,0.0502,,,,,,,,,,,,,,,,,,
56_2,0.0446,,,,,,,,,,,,,,,,,,
56_3,0.0512,,,,,,,,,,,,,,,,,,
56_5,0.0435,,,,,,,,,,,,,,,,,,
34_5,0,,,,,,,,,,,,,,,,,,
57_2,0.1085,,,,,,,,,,,,,,,,,,
57_4,0.0457,,,,,,,,,,,,,,,,,,
57_5,0.0515,,,,,,,,,,,,,,,,,,
58_1,0.0363,,,,,,,,,,,,,,,,,,
25_5,0,,,,,,,,,,,,,,,,,,
58_2,0.0283,,,,,,,,,,,,,,,,,,
26_2,0,,,,,,,,,,,,,,,,,,
58_3,0.082,,,,,,,,,,,,,,,,,,
26_4,0,,,,,,,,,,,,,,,,,,
58_5,0.0364,,,,,,,,,,,,,,,,,,
59_1,0.0318,,,,,,,,,,,,,,,,,,
41_2,0,,,,,,,,,,,,,,,,,,
41_3,0,,,,,,,,,,,,,,,,,,
59_2,0.0516,,,,,,,,,,,,,,,,,,
59_3,0.065,,,,,,,,,,,,,,,,,,
59_5,0.0685,,,,,,,,,,,,,,,,,,
28_2,0,,,,,,,,,,,,,,,,,,
28_3,0,,,,,,,,,,,,,,,,,,
28_4,0,,,,,,,,,,,,,,,,,,
6_1,0.1217,,,,,,,,,,,,,,,,,,
29_1,0,,,,,,,,,,,,,,,,,,
29_2,0,,,,,,,,,,,,,,,,,,
6_2,0.0832,,,,,,,,,,,,,,,,,,
6_3,0.0948,,,,,,,,,,,,,,,,,,
